user_id,variant,event_name,timestamp
u_000000,variant,page_view,2026-01-06 21:32:00
u_000000,variant,add_to_cart,2026-01-05 18:47:00
u_000000,variant,add_to_cart,2026-01-13 22:06:00
u_000000,variant,page_view,2026-01-06 00:20:00
u_000000,variant,purchase,2026-01-02 03:54:00
u_000001,variant,page_view,2026-01-08 19:55:00
u_000001,variant,checkout_start,2026-01-09 21:26:00
u_000001,variant,checkout_start,2026-01-11 09:32:00
u_000001,variant,checkout_start,2026-01-09 13:55:00
u_000001,variant,page_view,2026-01-01 07:09:00
u_000002,control,checkout_start,2026-01-06 13:07:00
u_000002,control,add_to_cart,2026-01-07 06:31:00
u_000003,variant,add_to_cart,2026-01-07 05:13:00
u_000003,variant,checkout_start,2026-01-11 20:08:00
u_000003,variant,checkout_start,2026-01-14 17:04:00
u_000003,variant,checkout_start,2026-01-14 08:29:00
u_000003,variant,checkout_start,2026-01-08 12:51:00
u_000003,variant,checkout_start,2026-01-07 17:19:00
u_000003,variant,page_view,2026-01-06 03:05:00
u_000004,variant,checkout_start,2026-01-03 05:14:00
u_000004,variant,purchase,2026-01-10 23:32:00
u_000004,variant,checkout_start,2026-01-07 07:58:00
u_000004,variant,checkout_start,2026-01-09 03:22:00
u_000004,variant,add_to_cart,2026-01-13 01:53:00
u_000005,variant,add_to_cart,2026-01-06 13:35:00
u_000005,variant,page_view,2026-01-02 05:55:00
u_000006,variant,purchase,2026-01-06 02:38:00
u_000006,variant,add_to_cart,2026-01-06 16:35:00
u_000006,variant,checkout_start,2026-01-05 03:27:00
u_000006,variant,page_view,2026-01-06 21:10:00
u_000006,variant,checkout_start,2026-01-08 07:02:00
u_000006,variant,page_view,2026-01-12 19:21:00
u_000006,variant,checkout_start,2026-01-11 01:58:00
u_000007,control,checkout_start,2026-01-09 02:30:00
u_000007,control,purchase,2026-01-11 20:02:00
u_000007,control,purchase,2026-01-10 20:40:00
u_000007,control,page_view,2026-01-05 21:42:00
u_000007,control,checkout_start,2026-01-07 05:28:00
u_000007,control,page_view,2026-01-04 17:54:00
u_000007,control,add_to_cart,2026-01-01 12:08:00
u_000008,variant,add_to_cart,2026-01-12 01:52:00
u_000008,variant,purchase,2026-01-13 08:57:00
u_000008,variant,purchase,2026-01-07 23:24:00
u_000008,variant,page_view,2026-01-02 04:16:00
u_000008,variant,checkout_start,2026-01-02 18:35:00
u_000008,variant,page_view,2026-01-04 10:05:00
u_000009,control,add_to_cart,2026-01-05 15:19:00
u_000009,control,checkout_start,2026-01-14 09:40:00
u_000009,control,checkout_start,2026-01-10 11:09:00
u_000010,variant,page_view,2026-01-03 15:29:00
u_000010,variant,purchase,2026-01-03 10:07:00
u_000011,control,purchase,2026-01-12 14:33:00
u_000011,control,add_to_cart,2026-01-03 04:31:00
u_000011,control,page_view,2026-01-13 00:12:00
u_000011,control,add_to_cart,2026-01-06 17:28:00
u_000011,control,page_view,2026-01-05 23:41:00
u_000011,control,add_to_cart,2026-01-11 11:48:00
u_000011,control,purchase,2026-01-07 12:56:00
u_000012,variant,add_to_cart,2026-01-03 10:45:00
u_000012,variant,page_view,2026-01-04 06:06:00
u_000012,variant,page_view,2026-01-01 11:32:00
u_000012,variant,page_view,2026-01-13 14:46:00
u_000013,control,checkout_start,2026-01-03 01:26:00
u_000013,control,add_to_cart,2026-01-09 11:55:00
u_000013,control,checkout_start,2026-01-12 04:42:00
u_000014,control,checkout_start,2026-01-06 15:38:00
u_000014,control,add_to_cart,2026-01-05 11:27:00
u_000014,control,purchase,2026-01-12 13:02:00
