user_id,variant,visit_date,day_number,device,category,is_new_user,converted,add_to_cart,order_value,session_duration_sec,bounced
USR000001,treatment,2024-01-20,12,mobile,Home & Garden,0,0,1,0.0,359,1
USR000002,treatment,2024-01-17,9,mobile,Beauty,0,0,0,0.0,335,0
USR000003,control,2024-01-13,5,mobile,Clothing,1,0,0,0.0,373,0
USR000004,treatment,2024-01-18,10,mobile,Beauty,1,0,0,0.0,230,1
USR000005,control,2024-01-16,8,mobile,Home & Garden,0,0,0,0.0,121,1
USR000006,treatment,2024-01-16,8,mobile,Electronics,0,0,0,0.0,61,0
USR000007,treatment,2024-01-19,11,desktop,Home & Garden,0,0,1,0.0,305,0
USR000008,treatment,2024-01-08,0,desktop,Electronics,1,0,0,0.0,77,1
USR000009,control,2024-01-18,10,mobile,Home & Garden,0,0,0,0.0,82,1
USR000010,control,2024-01-13,5,desktop,Clothing,1,0,0,0.0,9,1
USR000011,treatment,2024-01-15,7,tablet,Sports,0,0,1,0.0,468,0
USR000012,treatment,2024-01-21,13,desktop,Beauty,0,0,0,0.0,120,0
USR000013,treatment,2024-01-15,7,desktop,Clothing,1,0,0,0.0,313,1
USR000014,treatment,2024-01-10,2,desktop,Clothing,0,0,0,0.0,70,0
USR000015,treatment,2024-01-15,7,desktop,Home & Garden,0,0,0,0.0,363,0
USR000016,control,2024-01-14,6,mobile,Home & Garden,1,0,0,0.0,189,1
USR000017,control,2024-01-21,13,mobile,Sports,0,0,0,0.0,195,0
USR000018,control,2024-01-11,3,desktop,Sports,1,0,1,0.0,132,0
USR000019,treatment,2024-01-13,5,mobile,Beauty,0,0,0,0.0,193,0
USR000020,treatment,2024-01-11,3,desktop,Home & Garden,1,0,0,0.0,263,0
USR000021,treatment,2024-01-17,9,mobile,Clothing,1,0,1,0.0,67,0
USR000022,treatment,2024-01-14,6,mobile,Electronics,0,0,0,0.0,82,0
USR000023,treatment,2024-01-15,7,mobile,Clothing,0,0,0,0.0,159,0
USR000024,control,2024-01-13,5,desktop,Home & Garden,1,0,0,0.0,125,1
USR000025,control,2024-01-11,3,mobile,Electronics,0,0,0,0.0,115,0
USR000026,treatment,2024-01-08,0,desktop,Clothing,0,0,0,0.0,111,0
USR000027,control,2024-01-11,3,mobile,Sports,1,0,0,0.0,259,0
USR000028,treatment,2024-01-18,10,mobile,Clothing,0,0,0,0.0,451,0
USR000029,control,2024-01-09,1,mobile,Sports,0,0,0,0.0,94,0
USR000030,control,2024-01-11,3,mobile,Electronics,0,0,0,0.0,442,0
USR000031,treatment,2024-01-12,4,mobile,Clothing,1,0,0,0.0,26,0
USR000032,treatment,2024-01-08,0,desktop,Electronics,1,0,0,0.0,184,0
USR000033,treatment,2024-01-21,13,mobile,Home & Garden,0,0,0,0.0,323,0
USR000034,treatment,2024-01-21,13,mobile,Clothing,1,0,1,0.0,135,0
USR000035,control,2024-01-10,2,desktop,Clothing,1,1,1,11.01,87,1
USR000036,treatment,2024-01-11,3,desktop,Beauty,0,0,0,0.0,251,0
USR000037,control,2024-01-10,2,tablet,Electronics,0,0,0,0.0,188,0
USR000038,treatment,2024-01-21,13,mobile,Clothing,0,0,0,0.0,134,0
USR000039,treatment,2024-01-11,3,desktop,Electronics,0,0,0,0.0,92,0
USR000040,treatment,2024-01-13,5,mobile,Clothing,0,0,0,0.0,368,0
USR000041,treatment,2024-01-21,13,mobile,Clothing,1,0,0,0.0,309,0
USR000042,control,2024-01-16,8,desktop,Home & Garden,1,0,0,0.0,708,1
USR000043,control,2024-01-10,2,mobile,Clothing,0,0,0,0.0,257,0
USR000044,control,2024-01-15,7,mobile,Home & Garden,1,0,0,0.0,237,1
USR000045,treatment,2024-01-12,4,desktop,Clothing,1,0,0,0.0,173,1
USR000046,treatment,2024-01-11,3,desktop,Clothing,0,0,0,0.0,62,0
USR000047,control,2024-01-11,3,desktop,Clothing,1,0,0,0.0,115,0
USR000048,control,2024-01-13,5,desktop,Clothing,1,0,0,0.0,126,0
USR000049,control,2024-01-20,12,tablet,Electronics,0,0,0,0.0,306,0
USR000050,treatment,2024-01-18,10,mobile,Clothing,0,0,0,0.0,165,0
USR000051,control,2024-01-13,5,mobile,Electronics,1,0,0,0.0,568,1
USR000052,treatment,2024-01-19,11,mobile,Clothing,1,0,0,0.0,147,0
USR000053,treatment,2024-01-19,11,desktop,Beauty,0,0,0,0.0,169,0
USR000054,treatment,2024-01-09,1,mobile,Home & Garden,1,0,0,0.0,175,1
USR000055,control,2024-01-20,12,desktop,Home & Garden,1,0,0,0.0,488,0
USR000056,treatment,2024-01-14,6,mobile,Electronics,0,0,1,0.0,308,0
USR000057,treatment,2024-01-16,8,mobile,Sports,0,0,0,0.0,526,0
USR000058,treatment,2024-01-17,9,desktop,Clothing,1,0,1,0.0,161,0
USR000059,control,2024-01-10,2,mobile,Electronics,0,0,0,0.0,38,0
USR000060,treatment,2024-01-09,1,mobile,Sports,1,0,0,0.0,91,1
USR000061,treatment,2024-01-09,1,desktop,Clothing,0,0,0,0.0,199,0
USR000062,control,2024-01-20,12,mobile,Beauty,1,0,0,0.0,175,0
USR000063,treatment,2024-01-10,2,mobile,Electronics,0,0,0,0.0,53,0
USR000064,control,2024-01-21,13,mobile,Home & Garden,1,0,0,0.0,583,0
USR000065,control,2024-01-15,7,mobile,Home & Garden,1,0,0,0.0,295,1
USR000066,control,2024-01-16,8,mobile,Home & Garden,1,0,0,0.0,40,0
USR000067,control,2024-01-16,8,mobile,Clothing,0,0,0,0.0,942,0
USR000068,treatment,2024-01-10,2,desktop,Sports,1,0,1,0.0,824,0
USR000069,treatment,2024-01-09,1,mobile,Electronics,1,0,0,0.0,136,1
USR000070,treatment,2024-01-11,3,desktop,Beauty,0,0,0,0.0,137,0
USR000071,treatment,2024-01-20,12,mobile,Beauty,0,0,0,0.0,97,0
USR000072,treatment,2024-01-19,11,mobile,Electronics,0,0,0,0.0,71,1
USR000073,treatment,2024-01-19,11,mobile,Home & Garden,0,0,1,0.0,223,1
USR000074,treatment,2024-01-21,13,mobile,Sports,0,0,1,0.0,121,1
USR000075,treatment,2024-01-16,8,desktop,Electronics,1,0,1,0.0,117,0
USR000076,treatment,2024-01-10,2,mobile,Beauty,0,0,0,0.0,267,0
USR000077,control,2024-01-09,1,mobile,Home & Garden,0,0,0,0.0,140,1
USR000078,control,2024-01-13,5,mobile,Beauty,0,0,0,0.0,182,1
USR000079,treatment,2024-01-16,8,desktop,Electronics,0,0,0,0.0,217,1
USR000080,control,2024-01-19,11,tablet,Clothing,1,0,0,0.0,84,0
USR000081,treatment,2024-01-19,11,mobile,Electronics,0,0,0,0.0,181,0
USR000082,control,2024-01-18,10,desktop,Home & Garden,0,0,0,0.0,110,0
USR000083,treatment,2024-01-19,11,desktop,Beauty,0,0,1,0.0,140,1
USR000084,treatment,2024-01-14,6,desktop,Beauty,1,0,0,0.0,116,0
USR000085,control,2024-01-14,6,desktop,Electronics,0,0,0,0.0,234,1
USR000086,treatment,2024-01-19,11,tablet,Home & Garden,1,0,0,0.0,96,1
USR000087,control,2024-01-13,5,mobile,Beauty,0,0,0,0.0,52,0
USR000088,control,2024-01-18,10,mobile,Clothing,0,0,0,0.0,134,0
USR000089,control,2024-01-15,7,mobile,Home & Garden,1,0,0,0.0,85,0
USR000090,treatment,2024-01-19,11,tablet,Sports,0,1,1,83.69,84,1
USR000091,control,2024-01-10,2,mobile,Home & Garden,1,1,1,35.12,194,0
USR000092,control,2024-01-10,2,desktop,Electronics,0,0,0,0.0,79,1
USR000093,treatment,2024-01-15,7,mobile,Clothing,0,0,0,0.0,187,0
USR000094,treatment,2024-01-12,4,desktop,Clothing,1,0,0,0.0,46,1
USR000095,control,2024-01-13,5,desktop,Home & Garden,1,0,1,0.0,160,1
USR000096,treatment,2024-01-18,10,mobile,Clothing,1,0,0,0.0,314,1
USR000097,treatment,2024-01-19,11,mobile,Home & Garden,1,0,0,0.0,131,0
USR000098,control,2024-01-21,13,mobile,Electronics,1,0,0,0.0,79,0
USR000099,control,2024-01-08,0,desktop,Sports,0,0,1,0.0,109,1
USR000100,treatment,2024-01-16,8,desktop,Beauty,0,0,0,0.0,619,0
USR000101,treatment,2024-01-16,8,mobile,Home & Garden,0,0,0,0.0,92,1
USR000102,treatment,2024-01-11,3,desktop,Home & Garden,0,0,0,0.0,322,1
USR000103,treatment,2024-01-09,1,mobile,Clothing,0,0,0,0.0,143,0
USR000104,treatment,2024-01-10,2,mobile,Clothing,0,0,0,0.0,85,0
USR000105,control,2024-01-19,11,desktop,Clothing,1,0,0,0.0,168,1
USR000106,treatment,2024-01-14,6,mobile,Beauty,0,0,0,0.0,431,0
USR000107,treatment,2024-01-17,9,desktop,Home & Garden,1,0,0,0.0,205,0
USR000108,treatment,2024-01-09,1,mobile,Clothing,1,0,0,0.0,234,0
USR000109,control,2024-01-19,11,desktop,Electronics,1,0,0,0.0,637,0
USR000110,control,2024-01-16,8,tablet,Sports,0,0,0,0.0,216,0
USR000111,treatment,2024-01-09,1,desktop,Sports,1,0,0,0.0,89,0
USR000112,control,2024-01-18,10,mobile,Beauty,1,0,0,0.0,227,0
USR000113,control,2024-01-09,1,desktop,Clothing,0,0,0,0.0,661,1
USR000114,control,2024-01-12,4,mobile,Clothing,0,0,0,0.0,86,0
USR000115,control,2024-01-18,10,desktop,Clothing,1,0,0,0.0,80,0
USR000116,treatment,2024-01-12,4,mobile,Clothing,0,0,0,0.0,108,0
USR000117,control,2024-01-20,12,desktop,Home & Garden,0,0,0,0.0,175,1
